"","site_id","date","AmpRatio","PhaseLag_h","Ratio_Mean","YEAR","AR_roll3","AR_roll7","AR_roll15","MR_roll3","MR_roll7","PL_roll7","PL_roll3"
"5702","W3_3",2023-10-15,0.53,-6.46,1,2023,0.576666666666667,0.482857142857143,0.502666666666667,1,1.00428571428571,-4.80428571428571,-6.65666666666667
"5703","W3_3",2023-10-16,0.81,-7.62,1,2023,0.656666666666667,0.582857142857143,0.507333333333333,1,1.00285714285714,-5.01142857142857,-6.8
"5704","W3_3",2023-10-17,0.64,-7.22,1,2023,0.66,0.595714285714286,0.514666666666667,1,1.00142857142857,-7.07285714285714,-7.1
"5705","W3_3",2023-10-18,0.66,-6.96,1,2023,0.703333333333333,0.615714285714286,0.516,1,1,-6.94714285714286,-7.26666666666667
"5706","W3_3",2023-10-19,0.58,-7.52,1,2023,0.626666666666667,0.631428571428571,0.516666666666667,1,1,-7.04142857142857,-7.23333333333333
"5707","W3_3",2023-10-20,0.39,2.98,1,2023,0.543333333333333,0.605714285714286,0.510666666666667,1,1,-5.58857142857143,-3.83333333333333
"5708","W3_3",2023-10-21,0.07,6.78,1,2023,0.346666666666667,0.525714285714286,0.458666666666667,1,1,-3.71714285714286,0.746666666666667
"5709","W3_3",2023-10-22,0.02,3.42,1.02,2023,0.16,0.452857142857143,0.446666666666667,1.00666666666667,1.00285714285714,-2.30571428571429,4.39333333333333
"5710","W3_3",2023-10-23,0,0.76,1.02,2023,0.03,0.337142857142857,0.436666666666667,1.01333333333333,1.00571428571429,-1.10857142857143,3.65333333333333
"5711","W3_3",2023-10-24,0.03,-0.34,1.02,2023,0.0166666666666667,0.25,0.431333333333333,1.02,1.00857142857143,-0.125714285714286,1.28
"5712","W3_3",2023-10-25,0.06,-8.95,0.99,2023,0.03,0.164285714285714,0.398666666666667,1.01,1.00714285714286,-0.41,-2.84333333333333
"5713","W3_3",2023-10-26,0.17,-6.46,0.98,2023,0.0866666666666667,0.105714285714286,0.375333333333333,0.996666666666667,1.00428571428571,-0.258571428571428,-5.25
"5714","W3_3",2023-10-27,0.16,-8.08,0.98,2023,0.13,0.0728571428571429,0.354666666666667,0.983333333333333,1.00142857142857,-1.83857142857143,-7.83
"5715","W3_3",2023-10-28,0.12,-6.01,0.99,2023,0.15,0.08,0.324666666666667,0.983333333333333,1,-3.66571428571429,-6.85
"5716","W3_3",2023-10-29,0.84,-2,1.02,2023,0.373333333333333,0.197142857142857,0.338666666666667,0.996666666666667,1,-4.44,-5.36333333333333
"5717","W3_3",2023-10-30,0.71,-5.88,1.02,2023,0.556666666666667,0.298571428571429,0.350666666666667,1.01,1,-5.38857142857143,-4.63
